StateAbbr,PlaceName,PlaceFIPS,Binge rate,Cancer rate,Diabetes rate,Mental health rate,Obesity rate,Sleep rate
MI,Warren,2684000,18.9,7.7,11.7,16.6,35,39.9
MI,Westland,2686000,19.1,7,10.2,15.2,31,40.4
MI,Wyoming,2688940,20.7,5.7,9.1,15,32.7,35.6
MN,Bloomington,2706616,20.9,7.7,7.5,9.6,24,28.4
MN,Brooklyn Park,2707966,21.3,5.2,7.3,10.3,26.5,31.6
MN,Duluth,2717000,23.5,6.5,7.6,12,26.9,33.3
MN,Minneapolis,2743000,23.4,4.8,6.5,10.7,26.5,30
MN,Plymouth,2751730,22.9,6.7,6.1,8.3,22.8,26.7
MN,Rochester,2754880,18.8,6.5,7.7,10.1,29.7,31.4
MN,St. Paul,2758000,20.6,5.4,8.1,12,27.6,30.4
MS,Gulfport,2829700,15.5,6,12.6,15.8,36.6,38.2
MS,Jackson,2836000,12.5,5.4,14.5,15.8,38.3,40.6
MO,Columbia,2915670,22.7,4.8,6.8,13.5,28.3,32.1
MO,Independence,2935000,20.4,7.6,10.7,15.5,31.8,37
MO,Kansas City,2938000,19.7,6,11,14.2,35.5,38.2
MO,Lee's Summit,2941348,23,6.9,7.9,11.8,28.2,33.7
MO,O'Fallon,2954074,21.9,6,7.2,11.9,29.5,32.6
MO,St. Joseph,2964550,17.8,6.8,10.3,15.9,34.4,35.3
MO,St. Louis,2965000,19.3,5.6,12,14.9,35.5,37.7
MO,Springfield,2970000,17.9,6.5,9.8,16.1,31.8,33.5
MT,Billings,3006550,22,7.3,7.6,12.7,26,31
MT,Missoula,3050200,25.5,5.7,6,12.4,22.8,28.5
NE,Lincoln,3128000,24.7,5.9,7.8,10.9,30.1,28.3
NE,Omaha,3137000,21,6,10.1,12.1,33.4,31.8
NV,Henderson,3231900,18.8,6.8,9.6,12.3,24.9,38.2
NV,Las Vegas,3240000,17.9,6,11.2,13.9,28.2,40.5
NV,North Las Vegas,3251800,18.6,4.6,10.8,14.4,29.8,42.3
NV,Reno,3260600,22.4,5.9,8.2,14,24.2,33.7
NV,Sparks,3268400,22.3,6.1,8.5,14,24.5,33.8
NH,Manchester,3345140,18.2,6.6,9.1,14,31.1,36
NH,Nashua,3350260,17.9,6.9,9,12.8,29.6,35.1
NJ,Camden,3410000,14.6,4.3,17.4,18.9,43.6,49.6
NJ,Clifton,3413690,17.5,6.4,10.3,12.7,22.9,36.9
NJ,Elizabeth,3421000,16.6,4.8,12.4,15.9,33.1,43.5
NJ,Jersey City,3436000,17.2,4.3,10.6,12.6,27.3,43
NJ,Newark,3451000,15.2,4.5,14.5,16.4,38.7,48.9
NJ,Passaic,3456550,15.3,4.3,14.7,17.4,31.5,41.2
NJ,Paterson,3457000,14.7,4.5,15.6,17,33,43.1
NJ,Trenton,3474000,16.1,4.7,14.4,17.4,38.6,45.2
NJ,Union City,3474630,17.2,4.5,14,15.1,33.6,42
NM,Albuquerque,3502000,16,6,8.7,14.2,26.9,32.4
NM,Las Cruces,3539380,16.1,5.9,10.5,14.2,27.5,32.2
NM,Rio Rancho,3563460,18.6,6.1,8.3,13.2,27,31.3
NM,Santa Fe,3570500,15,7.2,9.3,12.2,20,27.8
NY,Albany,3601000,19.3,5.3,9.3,14.6,28.5,38.7
NY,Buffalo,3611000,19.3,5.7,13,16.3,35.1,42.7
NY,Mount Vernon,3649121,15.2,5.9,12.9,14.1,31.9,41.3
NY,New Rochelle,3650617,17.4,6.5,10,12.4,25.3,35.5
NY,New York,3651000,18.2,5.4,10.9,12.9,24.4,39.9
NY,Rochester,3663000,17,5.1,12.4,16.8,36.3,39.7
NY,Schenectady,3665508,18.6,6,10.5,15.8,32.4,41.2
NY,Syracuse,3673000,18.5,5.5,10.9,17.2,33,40.4
NY,Yonkers,3684000,16.6,6.3,11.1,13.6,27.1,36.7
NC,Asheville,3702140,18,7.1,9.2,12.8,27.4,30.8
NC,Cary,3710740,18.6,5.8,7.4,9.6,26.1,29.3
NC,Charlotte,3712000,17.7,5.2,9.4,12.5,32.4,32.8
NC,Concord,3714100,17.6,6.1,9.4,13.3,31.7,32.4
NC,Durham,3719000,16.6,5,9.1,12.6,31.3,34
NC,Fayetteville,3722920,15.4,5.2,10.5,14.3,34.2,38.5
NC,Gastonia,3725580,14.3,6.8,11.9,15.4,33,37.6
NC,Greensboro,3728000,16.3,5.8,10.1,13.5,33,35.8
NC,Greenville,3728080,17.7,4.4,8,14.2,32,39.2
NC,High Point,3731400,15.7,6.3,11.2,14.3,33.5,36.1
NC,Jacksonville,3734200,23.8,3.3,6,14.1,28.4,38.9
NC,Raleigh,3755000,18.8,4.9,8.2,11.8,30.7,32.7
NC,Wilmington,3774440,18.9,6.3,9,14.2,30.3,32.4
NC,Winston-Salem,3775000,14.4,6.1,11.3,14.3,33.8,36.2
ND,Fargo,3825700,25.4,5.4,7,10.7,29.6,27.6
OH,Akron,3901000,16.7,6.3,13.9,16.8,37.4,43.4
OH,Canton,3912000,15.1,6.6,14.3,17.6,42.2,42.4
OH,Cincinnati,3915000,18.5,5.4,13,16,36.4,42.9
OH,Cleveland,3916000,16.8,6.1,17,18.2,41,42.6
OH,Columbus,3918000,20.7,5.1,10.2,15,34.5,38.9
OH,Dayton,3921000,15.6,5.9,15.6,17.8,41.7,45.2
OH,Parma,3961000,21.4,8.1,10.4,14.3,29.1,34.8
OH,Toledo,3977000,18.3,6,14.1,16.8,42.9,43.3
OH,Youngstown,3988000,12.9,6.8,18.3,18.8,45.1,46
OK,Broken Arrow,4009050,16.3,6.4,9.2,13.7,32.8,31.5
OK,Edmond,4023200,16.5,6.3,8.4,12.6,28.3,30.2
OK,Lawton,4041850,14.5,5.2,10.5,15.8,37.5,34.9
OK,Norman,4052500,15.4,5.4,8,14.2,32.2,34
OK,Oklahoma City,4055000,14.5,6.1,11.6,15.4,34.2,34.3
OK,Tulsa,4075000,14.5,6.4,11.6,16,36.1,34.1
OR,Beaverton,4105350,16.5,5.9,7.5,12.4,27.6,31
OR,Bend,4105800,19.9,6.8,7.3,13,26.5,29.7
OR,Eugene,4123850,17.8,6.3,7.2,15.1,26.9,30.6
OR,Gresham,4131250,19.8,6.1,8.9,16.3,27.7,32.3
OR,Hillsboro,4134100,17.7,5.2,7,12.8,28.2,31.3
OR,Medford,4147000,17.5,7.5,9.7,16.4,27.1,34.5
OR,Portland,4159000,21,5.8,7.4,13.6,25.1,30.4
OR,Salem,4164900,16.3,6.5,9.6,15.3,31.1,32.8
PA,Allentown,4202000,17.2,6,12.8,17,38.7,39.4
PA,Bethlehem,4206088,18.7,6.9,10.4,14.9,32.9,38.3
PA,Erie,4224000,20.2,6.4,11.3,17.7,35.6,42.8
PA,Philadelphia,4260000,20.3,5.8,12.9,16.1,33,42.6
PA,Pittsburgh,4261000,21.3,5.9,9.6,13.9,29.7,40.4
PA,Reading,4263624,16.1,5.2,14.5,18.9,42.5,45.4
PA,Scranton,4269000,19.2,7.3,11.3,16.7,34.8,37.5
RI,Cranston,4419180,18.5,7.5,9.3,13.9,29.5,38.3
RI,Pawtucket,4454640,17.5,6.7,10.9,16.9,34.1,41.4
RI,Providence,4459000,17.9,4.9,10,16.2,32.8,41.6
RI,Warwick,4474300,17.3,8.1,9.2,15,31,36.3
SC,Charleston,4513330,22.2,5.9,9.4,12.7,28.6,33.2
SC,Columbia,4516000,19.1,4.5,9.9,14.8,32.8,38.5
SC,Mount Pleasant,4548535,22.8,7.1,8.2,10.8,25.9,29.2
SC,North Charleston,4550875,18.9,5.1,12.7,16,36.6,38.8
SC,Rock Hill,4561405,16,5.7,11.2,14.9,34.3,40.9
SD,Rapid City,4652980,17.3,7.1,10,11.4,34.2,27
SD,Sioux Falls,4659020,18.9,6.1,8,10.5,31.2,27.1
TN,Chattanooga,4714000,14.9,6.7,13.7,15.6,33.2,40.3
TN,Clarksville,4715160,16.1,4.9,9.3,14.9,32.9,41.3
